"UPC","UNITS","DOLLARS","iri_key","week","package","flavorscent","typeofgrain","pr","f","d","brand","vol_eq","price","price_pr","j"
"00-01-16000-27503",9,32.31,"236824",1493,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.59,0,0
"00-01-16000-27503",5,19.95,"675634",1498,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.99,0,0
"00-01-16000-27503",20,48.98,"291349",1502,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,2.449,2.449,0
"00-01-16000-27503",2,9.18,"260790",1523,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","A","0","GENERAL MILLS REESES PUFFS",0.8125,4.59,0,0
"00-01-16000-27503",7,20.65,"216210",1517,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,2.95,0,0
"00-01-16000-27503",4,13.8,"241553",1479,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.45,3.45,0
"00-01-16000-27503",4,13.98,"200575",1517,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.495,3.495,0
"00-01-16000-27503",7,27.23,"200171",1523,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.89,0,0
"00-01-16000-27503",4,14.36,"281536",1523,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.59,0,0
"00-01-16000-27507",4,17,"263584",1513,"BOX","CINNAMON TOAST","WHOLE WHEAT AND RICE","0","NONE","0","GENERAL MILLS CINNAMON TST CR",0.8,4.25,0,0
"00-01-16000-27507",7,22.33,"223199",1510,"BOX","CINNAMON TOAST","WHOLE WHEAT AND RICE","0","NONE","0","GENERAL MILLS CINNAMON TST CR",0.8,3.19,0,0
